mean_elevation,longitude,latitude
0.0,-116.875,73.0
0.0,-116.25,73.0
0.0,-115.625,73.0
0.0,-115.0,73.0
0.0,-114.375,73.0
0.0,-113.75,73.0
0.0,-113.125,73.0
0.0,-112.5,73.0
0.0,-111.875,73.0
0.0,-111.25,73.0
0.0,-110.625,73.0
0.0,-110.0,73.0
0.0,-109.375,73.0
0.0,-108.75,73.0
0.0,-108.125,73.0
0.0,-107.5,73.0
0.0,-106.875,73.0
0.0,-106.25,73.0
0.0,-105.625,73.0
0.0,-105.0,73.0
0.0,-104.375,73.0
0.0,-103.75,73.0
0.0,-103.125,73.0
0.0,-102.5,73.0
0.0,-101.875,73.0
0.0,-101.25,73.0
0.0,-100.625,73.0
0.0,-100.0,73.0
0.0,-99.375,73.0
0.0,-98.75,73.0
0.0,-98.125,73.0
0.0,-97.5,73.0
0.0,-96.875,73.0
0.0,-96.25,73.0
0.0,-95.625,73.0
0.0,-95.0,73.0
0.0,-94.375,73.0
0.0,-93.75,73.0
0.0,-93.125,73.0
0.0,-92.5,73.0
0.0,-91.875,73.0
0.0,-91.25,73.0
0.0,-90.625,73.0
0.0,-90.0,73.0
0.0,-89.375,73.0
0.0,-88.75,73.0
0.0,-88.125,73.0
0.0,-87.5,73.0
0.0,-86.875,73.0
0.0,-86.25,73.0
0.0,-85.625,73.0
0.0,-85.0,73.0
0.0,-84.375,73.0
0.0,-83.75,73.0
0.0,-83.125,73.0
0.0,-82.5,73.0
0.0,-81.875,73.0
0.0,-81.25,73.0
0.0,-80.625,73.0
0.0,-80.0,73.0
0.0,-79.375,73.0
0.0,-78.75,73.0
0.0,-78.125,73.0
0.0,-77.5,73.0
0.0,-76.875,73.0
0.0,-76.25,73.0
0.0,-75.625,73.0
0.0,-75.0,73.0
0.0,-74.375,73.0
0.0,-73.75,73.0
0.0,-73.125,73.0
0.0,-72.5,73.0
0.0,-71.875,73.0
0.0,-71.25,73.0
0.0,-70.625,73.0
0.0,-70.0,73.0
0.0,-69.375,73.0
0.0,-68.75,73.0
0.0,-68.125,73.0
0.0,-67.5,73.0
0.0,-66.875,73.0
0.0,-66.25,73.0
0.0,-65.625,73.0
0.0,-65.0,73.0
0.0,-64.375,73.0
0.0,-63.75,73.0
0.0,-63.125,73.0
0.0,-62.5,73.0
0.0,-61.875,73.0
0.0,-61.25,73.0
0.0,-60.625,73.0
0.0,-60.0,73.0
0.0,-59.375,73.0
0.0,-58.75,73.0
0.0,-58.125,73.0
0.0,-57.5,73.0
0.0,-56.875,73.0
0.0,-56.25,73.0
0.0,-55.625,73.0
0.0,-55.0,73.0
0.0,-54.375,73.0
0.0,-53.75,73.0
0.0,-53.125,73.0
0.0,-52.5,73.0
0.0,-51.875,73.0
0.0,-51.25,73.0
0.0,-50.625,73.0
0.0,-50.0,73.0
0.0,-49.375,73.0
0.0,-48.75,73.0
0.0,-48.125,73.0
0.0,-47.5,73.0
0.0,-46.875,73.0
0.0,-46.25,73.0
0.0,-45.625,73.0
0.0,-45.0,73.0
0.0,-44.375,73.0
0.0,-43.75,73.0
0.0,-43.125,73.0
0.0,-42.5,73.0
0.0,-41.875,73.0
0.0,-41.25,73.0
0.0,-40.625,73.0
0.0,-40.0,73.0
0.0,-39.375,73.0
0.0,-38.75,73.0
0.0,-38.125,73.0
0.0,-37.5,73.0
0.0,-36.875,73.0
0.0,-36.25,73.0
0.0,-35.625,73.0
0.0,-35.0,73.0
0.0,-34.375,73.0
0.0,-33.75,73.0
0.0,-33.125,73.0
0.0,-32.5,73.0
0.0,-31.875,73.0
0.0,-31.25,73.0
0.0,-30.625,73.0
0.0,-30.0,73.0
0.0,-29.375,73.0
0.0,-28.75,73.0
0.0,-28.125,73.0
0.0,-27.5,73.0
0.0,-26.875,73.0
0.0,-26.25,73.0
0.0,-25.625,73.0
0.0,-25.0,73.0
0.0,-24.375,73.0
0.0,-23.75,73.0
0.0,-23.125,73.0
0.0,-22.5,73.0
0.0,-21.875,73.0
0.0,-21.25,73.0
0.0,-20.625,73.0
0.0,-20.0,73.0
0.0,-19.375,73.0
0.0,-18.75,73.0
0.0,-18.125,73.0
0.0,-17.5,73.0
0.0,-16.875,73.0
0.0,-16.25,73.0
0.0,-15.625,73.0
0.0,-15.0,73.0
0.0,-14.375,73.0
0.0,-13.75,73.0
0.0,-13.125,73.0
0.0,-12.5,73.0
0.0,-11.875,73.0
0.0,-11.25,73.0
0.0,-10.625,73.0
0.0,-10.0,73.0
0.0,-9.375,73.0
0.0,-8.75,73.0
0.0,-8.125,73.0
0.0,-7.5,73.0
0.0,-6.875,73.0
0.0,-6.25,73.0
0.0,-5.625,73.0
0.0,-5.0,73.0
0.0,-4.375,73.0
0.0,-3.75,73.0
0.0,-3.125,73.0
0.0,-2.5,73.0
0.0,-1.875,73.0
0.0,-1.25,73.0
0.0,-0.625,73.0
0.0,0.0,73.0
0.0,0.625,73.0
0.0,1.25,73.0
0.0,1.875,73.0
0.0,2.5,73.0
0.0,3.125,73.0
0.0,3.75,73.0
0.0,4.375,73.0
0.0,5.0,73.0
0.0,5.625,73.0
0.0,6.25,73.0
0.0,6.875,73.0
0.0,7.5,73.0
0.0,8.125,73.0
0.0,8.75,73.0
0.0,9.375,73.0
0.0,10.0,73.0
0.0,10.625,73.0
0.0,11.25,73.0
0.0,11.875,73.0
0.0,12.5,73.0
0.0,13.125,73.0
0.0,13.75,73.0
0.0,14.375,73.0
0.0,15.0,73.0
0.0,15.625,73.0
0.0,16.25,73.0
0.0,16.875,73.0
0.0,17.5,73.0
0.0,18.125,73.0
0.0,18.75,73.0
0.0,19.375,73.0
0.0,20.0,73.0
0.0,20.625,73.0
0.0,21.25,73.0
0.0,21.875,73.0
0.0,22.5,73.0
0.0,23.125,73.0
0.0,23.75,73.0
0.0,24.375,73.0
0.0,25.0,73.0
0.0,25.625,73.0
0.0,26.25,73.0
0.0,26.875,73.0
0.0,27.5,73.0
0.0,28.125,73.0
0.0,28.75,73.0
0.0,29.375,73.0
0.0,30.0,73.0
0.0,30.625,73.0
0.0,31.25,73.0
0.0,31.875,73.0
0.0,32.5,73.0
0.0,33.125,73.0
0.0,33.75,73.0
0.0,34.375,73.0
0.0,35.0,73.0
0.0,35.625,73.0
0.0,36.25,73.0
0.0,36.875,73.0
0.0,37.5,73.0
0.0,38.125,73.0
0.0,38.75,73.0
0.0,39.375,73.0
0.0,40.0,73.0
0.0,40.625,73.0
0.0,41.25,73.0
0.0,41.875,73.0
0.0,42.5,73.0
0.0,43.125,73.0
0.0,43.75,73.0
0.0,44.375,73.0
0.0,45.0,73.0
0.0,45.625,73.0
0.0,46.25,73.0
0.0,46.875,73.0
0.0,47.5,73.0
0.0,48.125,73.0
0.0,48.75,73.0
0.0,49.375,73.0
0.0,50.0,73.0
0.0,50.625,73.0
0.0,51.25,73.0
0.0,51.875,73.0
0.0,52.5,73.0
0.0,53.125,73.0
0.0,53.75,73.0
0.0,54.375,73.0
0.0,55.0,73.0
0.0,55.625,73.0
0.0,56.25,73.0
0.0,56.875,73.0
0.0,57.5,73.0
0.0,58.125,73.0
0.0,58.75,73.0
0.0,59.375,73.0
0.0,60.0,73.0
0.0,60.625,73.0
0.0,61.25,73.0
0.0,61.875,73.0
0.0,62.5,73.0
0.0,63.125,73.0
0.0,63.75,73.0
0.0,64.375,73.0
0.0,65.0,73.0
0.0,65.625,73.0
0.0,66.25,73.0
0.0,66.875,73.0
0.0,67.5,73.0
0.0,68.125,73.0
0.0,68.75,73.0
0.0,69.375,73.0
0.0,70.0,73.0
0.0,70.625,73.0
0.0,71.25,73.0
0.0,71.875,73.0
0.0,72.5,73.0
0.0,73.125,73.0
0.0,73.75,73.0
0.0,74.375,73.0
0.0,75.0,73.0
0.0,75.625,73.0
0.0,76.25,73.0
0.0,76.875,73.0
0.0,77.5,73.0
0.0,78.125,73.0
0.0,78.75,73.0
0.0,79.375,73.0
0.0,80.0,73.0
0.0,80.625,73.0
0.0,81.25,73.0
0.0,81.875,73.0
0.0,82.5,73.0
0.0,83.125,73.0
0.0,83.75,73.0
0.0,84.375,73.0
0.0,85.0,73.0
0.0,85.625,73.0
0.0,86.25,73.0
0.0,86.875,73.0
0.0,87.5,73.0
0.0,88.125,73.0
0.0,88.75,73.0
0.0,89.375,73.0
0.0,90.0,73.0
0.0,90.625,73.0
0.0,91.25,73.0
0.0,91.875,73.0
0.0,92.5,73.0
0.0,93.125,73.0
0.0,93.75,73.0
0.0,94.375,73.0
0.0,95.0,73.0
0.0,95.625,73.0
0.0,96.25,73.0
0.0,96.875,73.0
0.0,97.5,73.0
0.0,98.125,73.0
0.0,98.75,73.0
0.0,99.375,73.0
0.0,100.0,73.0
0.0,100.625,73.0
0.0,101.25,73.0
0.0,101.875,73.0
0.0,102.5,73.0
0.0,103.125,73.0
0.0,103.75,73.0
0.0,104.375,73.0
0.0,105.0,73.0
0.0,105.625,73.0
0.0,106.25,73.0
0.0,106.875,73.0
0.0,107.5,73.0
0.0,108.125,73.0
0.0,108.75,73.0
0.0,109.375,73.0
0.0,110.0,73.0
0.0,110.625,73.0
0.0,111.25,73.0
0.0,111.875,73.0
0.0,112.5,73.0
0.0,113.125,73.0
0.0,113.75,73.0
0.0,114.375,73.0
0.0,115.0,73.0
0.0,115.625,73.0
0.0,116.25,73.0
0.0,116.875,73.0
0.0,117.5,73.0
0.0,118.125,73.0
0.0,118.75,73.0
0.0,119.375,73.0
0.0,120.0,73.0
0.0,120.625,73.0
0.0,121.25,73.0
0.0,121.875,73.0
0.0,122.5,73.0
0.0,123.125,73.0
0.0,123.75,73.0
0.0,124.375,73.0
0.0,125.0,73.0
0.0,125.625,73.0
0.0,126.25,73.0
0.0,126.875,73.0
0.0,127.5,73.0
0.0,128.125,73.0
0.0,128.75,73.0
0.0,129.375,73.0
0.0,130.0,73.0
0.0,130.625,73.0
0.0,131.25,73.0
0.0,131.875,73.0
0.0,132.5,73.0
0.0,133.125,73.0
0.0,133.75,73.0
0.0,134.375,73.0
0.0,135.0,73.0
0.0,135.625,73.0
0.0,136.25,73.0
0.0,136.875,73.0
0.0,137.5,73.0
0.0,138.125,73.0
0.0,138.75,73.0
0.0,139.375,73.0
0.0,140.0,73.0
0.0,140.625,73.0
0.0,141.25,73.0
0.0,141.875,73.0
0.0,142.5,73.0
0.0,143.125,73.0
0.0,143.75,73.0
0.0,144.375,73.0
0.0,145.0,73.0
0.0,145.625,73.0
0.0,146.25,73.0
0.0,146.875,73.0
0.0,147.5,73.0
0.0,148.125,73.0
0.0,148.75,73.0
0.0,149.375,73.0
0.0,150.0,73.0
0.0,150.625,73.0
0.0,151.25,73.0
0.0,151.875,73.0
0.0,152.5,73.0
0.0,153.125,73.0
0.0,153.75,73.0
0.0,154.375,73.0
0.0,155.0,73.0
0.0,155.625,73.0
0.0,156.25,73.0
0.0,156.875,73.0
0.0,157.5,73.0
0.0,158.125,73.0
0.0,158.75,73.0
0.0,159.375,73.0
0.0,160.0,73.0
0.0,160.625,73.0
0.0,161.25,73.0
0.0,161.875,73.0
0.0,162.5,73.0
0.0,163.125,73.0
0.0,163.75,73.0
0.0,164.375,73.0
0.0,165.0,73.0
0.0,165.625,73.0
0.0,166.25,73.0
0.0,166.875,73.0
0.0,167.5,73.0
0.0,168.125,73.0
0.0,168.75,73.0
0.0,169.375,73.0
0.0,170.0,73.0
0.0,170.625,73.0
0.0,171.25,73.0
0.0,171.875,73.0
0.0,172.5,73.0
0.0,173.125,73.0
0.0,173.75,73.0
0.0,174.375,73.0
0.0,175.0,73.0
0.0,175.625,73.0
0.0,176.25,73.0
0.0,176.875,73.0
0.0,177.5,73.0
0.0,178.125,73.0
0.0,178.75,73.0
0.0,179.375,73.0
0.0,-180.0,73.5
0.0,-179.375,73.5
0.0,-178.75,73.5
0.0,-178.125,73.5
0.0,-177.5,73.5
0.0,-176.875,73.5
0.0,-176.25,73.5
0.0,-175.625,73.5
0.0,-175.0,73.5
0.0,-174.375,73.5
0.0,-173.75,73.5
0.0,-173.125,73.5
0.0,-172.5,73.5
0.0,-171.875,73.5
0.0,-171.25,73.5
0.0,-170.625,73.5
0.0,-170.0,73.5
0.0,-169.375,73.5
0.0,-168.75,73.5
0.0,-168.125,73.5
0.0,-167.5,73.5
0.0,-166.875,73.5
0.0,-166.25,73.5
0.0,-165.625,73.5
0.0,-165.0,73.5
0.0,-164.375,73.5
0.0,-163.75,73.5
0.0,-163.125,73.5
0.0,-162.5,73.5
0.0,-161.875,73.5
0.0,-161.25,73.5
0.0,-160.625,73.5
0.0,-160.0,73.5
0.0,-159.375,73.5
0.0,-158.75,73.5
0.0,-158.125,73.5
0.0,-157.5,73.5
0.0,-156.875,73.5
0.0,-156.25,73.5
0.0,-155.625,73.5
0.0,-155.0,73.5
0.0,-154.375,73.5
0.0,-153.75,73.5
0.0,-153.125,73.5
0.0,-152.5,73.5
0.0,-151.875,73.5
0.0,-151.25,73.5
0.0,-150.625,73.5
0.0,-150.0,73.5
0.0,-149.375,73.5
0.0,-148.75,73.5
0.0,-148.125,73.5
0.0,-147.5,73.5
0.0,-146.875,73.5
0.0,-146.25,73.5
0.0,-145.625,73.5
0.0,-145.0,73.5
0.0,-144.375,73.5
0.0,-143.75,73.5
0.0,-143.125,73.5
0.0,-142.5,73.5
0.0,-141.875,73.5
0.0,-141.25,73.5
0.0,-140.625,73.5
0.0,-140.0,73.5
0.0,-139.375,73.5
0.0,-138.75,73.5
0.0,-138.125,73.5
0.0,-137.5,73.5
0.0,-136.875,73.5
0.0,-136.25,73.5
0.0,-135.625,73.5
0.0,-135.0,73.5
0.0,-134.375,73.5
0.0,-133.75,73.5
0.0,-133.125,73.5
0.0,-132.5,73.5
0.0,-131.875,73.5
0.0,-131.25,73.5
0.0,-130.625,73.5
0.0,-130.0,73.5
0.0,-129.375,73.5
0.0,-128.75,73.5
0.0,-128.125,73.5
0.0,-127.5,73.5
0.0,-126.875,73.5
0.0,-126.25,73.5
0.0,-125.625,73.5
0.0,-125.0,73.5
0.0,-124.375,73.5
0.0,-123.75,73.5
0.0,-123.125,73.5
0.0,-122.5,73.5
0.0,-121.875,73.5
0.0,-121.25,73.5
0.0,-120.625,73.5
0.0,-120.0,73.5
0.0,-119.375,73.5
0.0,-118.75,73.5
0.0,-118.125,73.5
0.0,-117.5,73.5
0.0,-116.875,73.5
0.0,-116.25,73.5
0.0,-115.625,73.5
0.0,-115.0,73.5
0.0,-114.375,73.5
0.0,-113.75,73.5
0.0,-113.125,73.5
0.0,-112.5,73.5
0.0,-111.875,73.5
0.0,-111.25,73.5
0.0,-110.625,73.5
0.0,-110.0,73.5
0.0,-109.375,73.5
0.0,-108.75,73.5
0.0,-108.125,73.5
0.0,-107.5,73.5
0.0,-106.875,73.5
0.0,-106.25,73.5
0.0,-105.625,73.5
0.0,-105.0,73.5
0.0,-104.375,73.5
0.0,-103.75,73.5
0.0,-103.125,73.5
0.0,-102.5,73.5
0.0,-101.875,73.5
0.0,-101.25,73.5
0.0,-100.625,73.5
0.0,-100.0,73.5
0.0,-99.375,73.5
0.0,-98.75,73.5
0.0,-98.125,73.5
0.0,-97.5,73.5
0.0,-96.875,73.5
0.0,-96.25,73.5
0.0,-95.625,73.5
0.0,-95.0,73.5
0.0,-94.375,73.5
0.0,-93.75,73.5
0.0,-93.125,73.5
0.0,-92.5,73.5
0.0,-91.875,73.5
0.0,-91.25,73.5
0.0,-90.625,73.5
0.0,-90.0,73.5
0.0,-89.375,73.5
0.0,-88.75,73.5
0.0,-88.125,73.5
0.0,-87.5,73.5
0.0,-86.875,73.5
0.0,-86.25,73.5
0.0,-85.625,73.5
0.0,-85.0,73.5
0.0,-84.375,73.5
0.0,-83.75,73.5
0.0,-83.125,73.5
0.0,-82.5,73.5
0.0,-81.875,73.5
0.0,-81.25,73.5
0.0,-80.625,73.5
0.0,-80.0,73.5
0.0,-79.375,73.5
0.0,-78.75,73.5
0.0,-78.125,73.5
0.0,-77.5,73.5
0.0,-76.875,73.5
0.0,-76.25,73.5
0.0,-75.625,73.5
0.0,-75.0,73.5
0.0,-74.375,73.5
0.0,-73.75,73.5
0.0,-73.125,73.5
0.0,-72.5,73.5
0.0,-71.875,73.5
0.0,-71.25,73.5
0.0,-70.625,73.5
0.0,-70.0,73.5
0.0,-69.375,73.5
0.0,-68.75,73.5
0.0,-68.125,73.5
0.0,-67.5,73.5
0.0,-66.875,73.5
0.0,-66.25,73.5
0.0,-65.625,73.5
0.0,-65.0,73.5
0.0,-64.375,73.5
0.0,-63.75,73.5
0.0,-63.125,73.5
0.0,-62.5,73.5
0.0,-61.875,73.5
0.0,-61.25,73.5
0.0,-60.625,73.5
0.0,-60.0,73.5
0.0,-59.375,73.5
0.0,-58.75,73.5
0.0,-58.125,73.5
0.0,-57.5,73.5
0.0,-56.875,73.5
0.0,-56.25,73.5
0.0,-55.625,73.5
0.0,-55.0,73.5
0.0,-54.375,73.5
0.0,-53.75,73.5
0.0,-53.125,73.5
0.0,-52.5,73.5
0.0,-51.875,73.5
0.0,-51.25,73.5
0.0,-50.625,73.5
0.0,-50.0,73.5
0.0,-49.375,73.5
0.0,-48.75,73.5
0.0,-48.125,73.5
0.0,-47.5,73.5
0.0,-46.875,73.5
0.0,-46.25,73.5
0.0,-45.625,73.5
0.0,-45.0,73.5
0.0,-44.375,73.5
0.0,-43.75,73.5
0.0,-43.125,73.5
0.0,-42.5,73.5
0.0,-41.875,73.5
0.0,-41.25,73.5
0.0,-40.625,73.5
0.0,-40.0,73.5
0.0,-39.375,73.5
0.0,-38.75,73.5
0.0,-38.125,73.5
0.0,-37.5,73.5
0.0,-36.875,73.5
0.0,-36.25,73.5
0.0,-35.625,73.5
0.0,-35.0,73.5
0.0,-34.375,73.5
0.0,-33.75,73.5
0.0,-33.125,73.5
0.0,-32.5,73.5
0.0,-31.875,73.5
0.0,-31.25,73.5
0.0,-30.625,73.5
0.0,-30.0,73.5
0.0,-29.375,73.5
0.0,-28.75,73.5
0.0,-28.125,73.5
0.0,-27.5,73.5
0.0,-26.875,73.5
0.0,-26.25,73.5
0.0,-25.625,73.5
0.0,-25.0,73.5
0.0,-24.375,73.5
0.0,-23.75,73.5
0.0,-23.125,73.5
0.0,-22.5,73.5
0.0,-21.875,73.5
0.0,-21.25,73.5
0.0,-20.625,73.5
0.0,-20.0,73.5
0.0,-19.375,73.5
0.0,-18.75,73.5
0.0,-18.125,73.5
0.0,-17.5,73.5
0.0,-16.875,73.5
0.0,-16.25,73.5
0.0,-15.625,73.5
0.0,-15.0,73.5
0.0,-14.375,73.5
0.0,-13.75,73.5
0.0,-13.125,73.5
0.0,-12.5,73.5
0.0,-11.875,73.5
0.0,-11.25,73.5
0.0,-10.625,73.5
0.0,-10.0,73.5
0.0,-9.375,73.5
0.0,-8.75,73.5
0.0,-8.125,73.5
0.0,-7.5,73.5
0.0,-6.875,73.5
0.0,-6.25,73.5
0.0,-5.625,73.5
0.0,-5.0,73.5
0.0,-4.375,73.5
0.0,-3.75,73.5
0.0,-3.125,73.5
0.0,-2.5,73.5
0.0,-1.875,73.5
0.0,-1.25,73.5
0.0,-0.625,73.5
0.0,0.0,73.5
0.0,0.625,73.5
0.0,1.25,73.5
0.0,1.875,73.5
0.0,2.5,73.5
0.0,3.125,73.5
0.0,3.75,73.5
0.0,4.375,73.5
0.0,5.0,73.5
0.0,5.625,73.5
0.0,6.25,73.5
0.0,6.875,73.5
0.0,7.5,73.5
0.0,8.125,73.5
0.0,8.75,73.5
0.0,9.375,73.5
0.0,10.0,73.5
0.0,10.625,73.5
0.0,11.25,73.5
0.0,11.875,73.5
0.0,12.5,73.5
0.0,13.125,73.5
0.0,13.75,73.5
0.0,14.375,73.5
0.0,15.0,73.5
0.0,15.625,73.5
0.0,16.25,73.5
0.0,16.875,73.5
0.0,17.5,73.5
0.0,18.125,73.5
0.0,18.75,73.5
0.0,19.375,73.5
0.0,20.0,73.5
0.0,20.625,73.5
0.0,21.25,73.5
0.0,21.875,73.5
0.0,22.5,73.5
0.0,23.125,73.5
0.0,23.75,73.5
0.0,24.375,73.5
0.0,25.0,73.5
0.0,25.625,73.5
0.0,26.25,73.5
0.0,26.875,73.5
0.0,27.5,73.5
0.0,28.125,73.5
0.0,28.75,73.5
0.0,29.375,73.5
0.0,30.0,73.5
0.0,30.625,73.5
0.0,31.25,73.5
0.0,31.875,73.5
0.0,32.5,73.5
0.0,33.125,73.5
0.0,33.75,73.5
0.0,34.375,73.5
0.0,35.0,73.5
0.0,35.625,73.5
0.0,36.25,73.5
0.0,36.875,73.5
0.0,37.5,73.5
0.0,38.125,73.5
0.0,38.75,73.5
0.0,39.375,73.5
0.0,40.0,73.5
0.0,40.625,73.5
0.0,41.25,73.5
0.0,41.875,73.5
0.0,42.5,73.5
0.0,43.125,73.5
0.0,43.75,73.5
0.0,44.375,73.5
0.0,45.0,73.5
0.0,45.625,73.5
0.0,46.25,73.5
0.0,46.875,73.5
0.0,47.5,73.5
0.0,48.125,73.5
0.0,48.75,73.5
0.0,49.375,73.5
0.0,50.0,73.5
0.0,50.625,73.5
0.0,51.25,73.5
0.0,51.875,73.5
0.0,52.5,73.5
0.0,53.125,73.5
0.0,53.75,73.5
0.0,54.375,73.5
0.0,55.0,73.5
0.0,55.625,73.5
0.0,56.25,73.5
0.0,56.875,73.5
0.0,57.5,73.5
0.0,58.125,73.5
0.0,58.75,73.5
0.0,59.375,73.5
0.0,60.0,73.5
0.0,60.625,73.5
0.0,61.25,73.5
0.0,61.875,73.5
0.0,62.5,73.5
0.0,63.125,73.5
0.0,63.75,73.5
0.0,64.375,73.5
0.0,65.0,73.5
0.0,65.625,73.5
0.0,66.25,73.5
0.0,66.875,73.5
0.0,67.5,73.5
0.0,68.125,73.5
0.0,68.75,73.5
0.0,69.375,73.5
0.0,70.0,73.5
0.0,70.625,73.5
0.0,71.25,73.5
0.0,71.875,73.5
0.0,72.5,73.5
0.0,73.125,73.5
0.0,73.75,73.5
0.0,74.375,73.5
0.0,75.0,73.5
0.0,75.625,73.5
0.0,76.25,73.5
0.0,76.875,73.5
0.0,77.5,73.5
0.0,78.125,73.5
0.0,78.75,73.5
0.0,79.375,73.5
0.0,80.0,73.5
0.0,80.625,73.5
0.0,81.25,73.5
0.0,81.875,73.5
0.0,82.5,73.5
0.0,83.125,73.5
0.0,83.75,73.5
0.0,84.375,73.5
0.0,85.0,73.5
0.0,85.625,73.5
0.0,86.25,73.5
0.0,86.875,73.5
0.0,87.5,73.5
0.0,88.125,73.5
0.0,88.75,73.5
0.0,89.375,73.5
0.0,90.0,73.5
0.0,90.625,73.5
0.0,91.25,73.5
0.0,91.875,73.5
0.0,92.5,73.5
0.0,93.125,73.5
0.0,93.75,73.5
0.0,94.375,73.5
0.0,95.0,73.5
0.0,95.625,73.5
0.0,96.25,73.5
0.0,96.875,73.5
0.0,97.5,73.5
0.0,98.125,73.5
0.0,98.75,73.5
0.0,99.375,73.5
0.0,100.0,73.5
0.0,100.625,73.5
0.0,101.25,73.5
0.0,101.875,73.5
0.0,102.5,73.5
0.0,103.125,73.5
0.0,103.75,73.5
0.0,104.375,73.5
0.0,105.0,73.5
0.0,105.625,73.5
0.0,106.25,73.5
0.0,106.875,73.5
0.0,107.5,73.5
0.0,108.125,73.5
0.0,108.75,73.5
0.0,109.375,73.5
0.0,110.0,73.5
0.0,110.625,73.5
0.0,111.25,73.5
0.0,111.875,73.5
0.0,112.5,73.5
0.0,113.125,73.5
0.0,113.75,73.5
0.0,114.375,73.5
0.0,115.0,73.5
0.0,115.625,73.5
0.0,116.25,73.5
0.0,116.875,73.5
0.0,117.5,73.5
0.0,118.125,73.5
0.0,118.75,73.5
0.0,119.375,73.5
0.0,120.0,73.5
0.0,120.625,73.5
0.0,121.25,73.5
0.0,121.875,73.5
0.0,122.5,73.5
0.0,123.125,73.5
0.0,123.75,73.5
0.0,124.375,73.5
0.0,125.0,73.5
0.0,125.625,73.5
0.0,126.25,73.5
0.0,126.875,73.5
0.0,127.5,73.5
0.0,128.125,73.5
0.0,128.75,73.5
0.0,129.375,73.5
0.0,130.0,73.5
0.0,130.625,73.5
0.0,131.25,73.5
0.0,131.875,73.5
0.0,132.5,73.5
0.0,133.125,73.5
0.0,133.75,73.5
0.0,134.375,73.5
0.0,135.0,73.5
0.0,135.625,73.5
0.0,136.25,73.5
0.0,136.875,73.5
0.0,137.5,73.5
0.0,138.125,73.5
0.0,138.75,73.5
0.0,139.375,73.5
0.0,140.0,73.5
0.0,140.625,73.5
0.0,141.25,73.5
0.0,141.875,73.5
0.0,142.5,73.5
0.0,143.125,73.5
0.0,143.75,73.5
0.0,144.375,73.5
0.0,145.0,73.5
0.0,145.625,73.5
0.0,146.25,73.5
0.0,146.875,73.5
0.0,147.5,73.5
0.0,148.125,73.5
0.0,148.75,73.5
0.0,149.375,73.5
0.0,150.0,73.5
0.0,150.625,73.5
0.0,151.25,73.5
0.0,151.875,73.5
0.0,152.5,73.5
0.0,153.125,73.5
0.0,153.75,73.5
0.0,154.375,73.5
0.0,155.0,73.5
0.0,155.625,73.5
0.0,156.25,73.5
0.0,156.875,73.5
0.0,157.5,73.5
0.0,158.125,73.5
0.0,158.75,73.5
0.0,159.375,73.5
0.0,160.0,73.5
0.0,160.625,73.5
0.0,161.25,73.5
0.0,161.875,73.5
0.0,162.5,73.5
0.0,163.125,73.5
0.0,163.75,73.5
0.0,164.375,73.5
0.0,165.0,73.5
0.0,165.625,73.5
0.0,166.25,73.5
0.0,166.875,73.5
0.0,167.5,73.5
0.0,168.125,73.5
0.0,168.75,73.5
0.0,169.375,73.5
0.0,170.0,73.5
0.0,170.625,73.5
0.0,171.25,73.5
0.0,171.875,73.5
0.0,172.5,73.5
0.0,173.125,73.5
0.0,173.75,73.5
0.0,174.375,73.5
0.0,175.0,73.5
0.0,175.625,73.5
0.0,176.25,73.5
0.0,176.875,73.5
0.0,177.5,73.5
0.0,178.125,73.5
0.0,178.75,73.5
0.0,179.375,73.5
0.0,-180.0,74.0
0.0,-179.375,74.0
0.0,-178.75,74.0
0.0,-178.125,74.0
0.0,-177.5,74.0
0.0,-176.875,74.0
0.0,-176.25,74.0
0.0,-175.625,74.0
0.0,-175.0,74.0
0.0,-174.375,74.0
0.0,-173.75,74.0
0.0,-173.125,74.0
0.0,-172.5,74.0
0.0,-171.875,74.0
0.0,-171.25,74.0
0.0,-170.625,74.0
0.0,-170.0,74.0
0.0,-169.375,74.0
0.0,-168.75,74.0
0.0,-168.125,74.0
0.0,-167.5,74.0
0.0,-166.875,74.0
0.0,-166.25,74.0
0.0,-165.625,74.0
0.0,-165.0,74.0
0.0,-164.375,74.0
0.0,-163.75,74.0
0.0,-163.125,74.0
0.0,-162.5,74.0
0.0,-161.875,74.0
0.0,-161.25,74.0
0.0,-160.625,74.0
0.0,-160.0,74.0
0.0,-159.375,74.0
0.0,-158.75,74.0
0.0,-158.125,74.0
0.0,-157.5,74.0
0.0,-156.875,74.0
0.0,-156.25,74.0
0.0,-155.625,74.0
0.0,-155.0,74.0
0.0,-154.375,74.0
0.0,-153.75,74.0
0.0,-153.125,74.0
0.0,-152.5,74.0
0.0,-151.875,74.0
0.0,-151.25,74.0
0.0,-150.625,74.0
0.0,-150.0,74.0
0.0,-149.375,74.0
0.0,-148.75,74.0
0.0,-148.125,74.0
0.0,-147.5,74.0
0.0,-146.875,74.0
0.0,-146.25,74.0
0.0,-145.625,74.0
0.0,-145.0,74.0
0.0,-144.375,74.0
0.0,-143.75,74.0
0.0,-143.125,74.0
0.0,-142.5,74.0
0.0,-141.875,74.0
0.0,-141.25,74.0
0.0,-140.625,74.0
0.0,-140.0,74.0
0.0,-139.375,74.0
0.0,-138.75,74.0
0.0,-138.125,74.0
0.0,-137.5,74.0
